INFO:root:end_time;n_epochs;randomInit;best_validation_score;iteration;test_score;activation
INFO:root:174.575307048;10;True;2.88;25000;2.86;Elemwise{tanh,no_inplace}
INFO:root:431.731905809;25;True;2.39;60000;2.45;Elemwise{tanh,no_inplace}
INFO:root:172.575541247;10;True;2.62;25000;2.72;Elemwise{tanh,no_inplace}
INFO:root:341.055973982;20;True;2.41;47500;2.5;Elemwise{tanh,no_inplace}
INFO:root:507.609442224;30;True;2.33;75000;2.37;Elemwise{tanh,no_inplace}
INFO:root:677.059379662;40;True;2.26;100000;2.29;Elemwise{tanh,no_inplace}
INFO:root:843.353929455;50;True;2.21;125000;2.24;Elemwise{tanh,no_inplace}
INFO:root:1010.5433683;60;True;2.14;147500;2.21;Elemwise{tanh,no_inplace}
INFO:root:1175.40605922;70;True;2.09;160000;2.16;Elemwise{tanh,no_inplace}
INFO:root:1339.30751704;80;True;2.05;200000;2.06;Elemwise{tanh,no_inplace}
INFO:root:1501.64460424;90;True;2.03;217500;2.05;Elemwise{tanh,no_inplace}
INFO:root:1665.61857831;100;True;2.0;247500;2.04;Elemwise{tanh,no_inplace}
INFO:root:1827.42825492;110;True;1.99;260000;2.06;Elemwise{tanh,no_inplace}
INFO:root:1990.06177297;120;True;1.96;290000;2.01;Elemwise{tanh,no_inplace}
INFO:root:2150.57704208;130;True;1.96;290000;2.01;Elemwise{tanh,no_inplace}
INFO:root:2311.18325451;140;True;1.96;290000;2.01;Elemwise{tanh,no_inplace}
INFO:root:2474.1316048;150;True;1.96;375000;1.94;Elemwise{tanh,no_inplace}
INFO:root:2635.29366711;160;True;1.95;390000;1.94;Elemwise{tanh,no_inplace}
INFO:root:2803.25892451;170;True;1.94;405000;1.94;Elemwise{tanh,no_inplace}
INFO:root:2973.22052617;180;True;1.92;437500;1.93;Elemwise{tanh,no_inplace}
INFO:root:3140.31865128;190;True;1.92;437500;1.93;Elemwise{tanh,no_inplace}
INFO:root:3307.30445146;200;True;1.92;437500;1.93;Elemwise{tanh,no_inplace}
INFO:root:3477.33315481;210;True;1.9;515000;1.92;Elemwise{tanh,no_inplace}
INFO:root:3644.54411055;220;True;1.9;515000;1.92;Elemwise{tanh,no_inplace}
INFO:root:3811.5635122;230;True;1.9;515000;1.92;Elemwise{tanh,no_inplace}
INFO:root:3978.6570387;240;True;1.9;515000;1.92;Elemwise{tanh,no_inplace}
INFO:root:4146.44368312;250;True;1.9;515000;1.92;Elemwise{tanh,no_inplace}
INFO:root:4313.79369091;260;True;1.9;515000;1.92;Elemwise{tanh,no_inplace}
INFO:root:4480.96209105;270;True;1.9;515000;1.92;Elemwise{tanh,no_inplace}
INFO:root:4648.36316118;280;True;1.9;515000;1.92;Elemwise{tanh,no_inplace}
INFO:root:4815.46209432;290;True;1.9;515000;1.92;Elemwise{tanh,no_inplace}
INFO:root:4982.57296553;300;True;1.9;515000;1.92;Elemwise{tanh,no_inplace}
INFO:root:5149.16137978;310;True;1.9;515000;1.92;Elemwise{tanh,no_inplace}
INFO:root:5315.96571647;320;True;1.9;515000;1.92;Elemwise{tanh,no_inplace}
INFO:root:5482.73227857;330;True;1.9;515000;1.92;Elemwise{tanh,no_inplace}
INFO:root:5649.74267849;340;True;1.9;515000;1.92;Elemwise{tanh,no_inplace}
INFO:root:5821.54669234;350;True;1.9;515000;1.92;Elemwise{tanh,no_inplace}
INFO:root:5992.47374034;360;True;1.9;515000;1.92;Elemwise{tanh,no_inplace}
INFO:root:6160.04529694;370;True;1.9;515000;1.92;Elemwise{tanh,no_inplace}
INFO:root:6329.39666421;380;True;1.89;942500;1.81;Elemwise{tanh,no_inplace}
INFO:root:6500.77364452;390;True;1.86;975000;1.83;Elemwise{tanh,no_inplace}
INFO:root:6670.3603438;400;True;1.85;985000;1.83;Elemwise{tanh,no_inplace}
INFO:root:6839.97422227;410;True;1.83;1015000;1.83;Elemwise{tanh,no_inplace}
INFO:root:7008.50471757;420;True;1.82;1030000;1.83;Elemwise{tanh,no_inplace}
INFO:root:7176.16755992;430;True;1.82;1030000;1.83;Elemwise{tanh,no_inplace}
INFO:root:7344.24076011;440;True;1.82;1030000;1.83;Elemwise{tanh,no_inplace}
INFO:root:7514.25868565;450;True;1.81;1117500;1.85;Elemwise{tanh,no_inplace}
INFO:root:7684.62773539;460;True;1.8;1140000;1.85;Elemwise{tanh,no_inplace}
INFO:root:7852.86473572;470;True;1.8;1140000;1.85;Elemwise{tanh,no_inplace}
INFO:root:8020.60993395;480;True;1.8;1140000;1.85;Elemwise{tanh,no_inplace}
INFO:root:8190.67066095;490;True;1.78;1217500;1.83;Elemwise{tanh,no_inplace}
INFO:root:169.274115246;10;False;5.74;25000;6.19;Elemwise{tanh,no_inplace}
INFO:root:338.980735981;20;False;3.78;50000;4.26;Elemwise{tanh,no_inplace}
INFO:root:509.25904208;30;False;3.2;75000;3.37;Elemwise{tanh,no_inplace}
INFO:root:680.479034075;40;False;2.85;100000;2.92;Elemwise{tanh,no_inplace}
INFO:root:852.448834091;50;False;2.56;125000;2.64;Elemwise{tanh,no_inplace}
INFO:root:1021.29541241;60;False;2.42;150000;2.45;Elemwise{tanh,no_inplace}
INFO:root:1189.13678657;70;False;2.31;175000;2.33;Elemwise{tanh,no_inplace}
